timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1686030471269,142,JSR223 Sampler - Key Exchange,200,OK,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1686030471412,54,JSR223 Sampler - Sign & Encrypt Payload,200,OK,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1686030471563,72,HTTP Request - Transaction Encrypted,200,OK,Thread Group 1-1,text,true,,10587,10579,1,1,http://localhost:8080/wiremock/api/github/users/octocat,67,0,20
1686030471669,14,JSR223 Sampler - Decrypt & Verify Payload,200,OK,Thread Group 1-1,text,true,,5023,0,1,1,null,0,0,0
1686030471683,4,HTTP Request - Transaction Plain,200,OK,Thread Group 1-1,text,true,,5336,5346,1,1,http://localhost:8080/wiremock/api/github/users/octocat,4,0,0
1686030471688,14,JSR223 Sampler - Sign & Encrypt Payload,200,OK,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1686030471702,21,HTTP Request - Transaction Encrypted,200,OK,Thread Group 1-1,text,true,,10586,10579,1,1,http://localhost:8080/wiremock/api/github/users/octocat,21,0,0
1686030471724,14,JSR223 Sampler - Decrypt & Verify Payload,200,OK,Thread Group 1-1,text,true,,5023,0,1,1,null,0,0,0
1686030471739,5,HTTP Request - Transaction Plain,200,OK,Thread Group 1-1,text,true,,5336,5346,1,1,http://localhost:8080/wiremock/api/github/users/octocat,5,0,0
1686030471745,14,JSR223 Sampler - Sign & Encrypt Payload,200,OK,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1686030471759,37,HTTP Request - Transaction Encrypted,200,OK,Thread Group 1-1,text,true,,10587,10579,1,1,http://localhost:8080/wiremock/api/github/users/octocat,37,0,0
1686030471797,13,JSR223 Sampler - Decrypt & Verify Payload,200,OK,Thread Group 1-1,text,true,,5023,0,1,1,null,0,0,0
1686030471810,5,HTTP Request - Transaction Plain,200,OK,Thread Group 1-1,text,true,,5336,5346,1,1,http://localhost:8080/wiremock/api/github/users/octocat,4,0,0
1686030471815,34,JSR223 Sampler - Sign & Encrypt Payload,200,OK,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1686030471849,19,HTTP Request - Transaction Encrypted,200,OK,Thread Group 1-1,text,true,,10586,10579,1,1,http://localhost:8080/wiremock/api/github/users/octocat,19,0,0
1686030471869,13,JSR223 Sampler - Decrypt & Verify Payload,200,OK,Thread Group 1-1,text,true,,5023,0,1,1,null,0,0,0
1686030471882,4,HTTP Request - Transaction Plain,200,OK,Thread Group 1-1,text,true,,5336,5346,1,1,http://localhost:8080/wiremock/api/github/users/octocat,4,0,0
1686030471887,15,JSR223 Sampler - Sign & Encrypt Payload,200,OK,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1686030471903,5,HTTP Request - Transaction Encrypted,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8080 failed to respond,Thread Group 1-1,text,false,,2067,0,1,1,http://localhost:8080/wiremock/api/github/users/octocat,0,0,0
